ID,product,offer,name,seller,user,quantity,message,country,is closed,created at,updated at
78,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
77,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
76,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
75,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
74,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
73,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
72,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
71,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
70,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
69,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
68,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
67,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
66,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
65,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
64,apple,,k,,,2,xcdc,AD,False,02/09/2021,02/09/2021
63,mango,,k,,,2,fgvhg,AX,False,02/09/2021,02/09/2021
62,apple,,ok@demo.com,,,1,hygkj,AS,False,02/09/2021,02/09/2021
61,apple,,ok@demo.com,,,1,gfgf,AG,False,02/09/2021,02/09/2021
60,apple,,ok,,,1,xfdf,AO,False,02/09/2021,02/09/2021
59,apple,,ok,,,4,cvc,AR,False,02/09/2021,02/09/2021
58,apple,,aws,,,2,cv ,AL,False,01/09/2021,01/09/2021
57,apple,,aws,,,2,d d,AD,False,01/09/2021,01/09/2021
56,apple,,aqs,,,2,c ddf,AS,False,01/09/2021,01/09/2021
55,apple,,aws,,,2,c x vd,AS,False,01/09/2021,01/09/2021
54,apple,,aws,,,2,c dsf,DZ,False,01/09/2021,01/09/2021
53,mango,,,,,12,dbgfbf,AS,False,01/09/2021,01/09/2021
52,apple,,aswa,,,2,sdcddfs,AD,False,01/09/2021,01/09/2021
51,vsfv,,,,,2,df fvc,AO,False,01/09/2021,01/09/2021
50,csdvd,,aws,,,1,fdvf,AS,False,01/09/2021,01/09/2021
49,csdvd,,shha,,,1,ygjgcv,DZ,False,31/08/2021,31/08/2021
48,csdvd,,ded,,,4,gfgf,AX,False,31/08/2021,31/08/2021
47,csdvd,,sdf,,,2,dfvsf,AX,False,31/08/2021,31/08/2021
46,csdvd,,saet,,,2,jbgvtyuh,DZ,False,31/08/2021,31/08/2021
28,Anise Seed ,,,,,32,dgg,AG,False,02/08/2021,02/08/2021
27,Anise Seed ,,,,,12,2dfs,AQ,False,02/08/2021,02/08/2021
26,Anise Seed ,,,,,1,ghfuhb,AQ,False,02/08/2021,02/08/2021
